attraction_name,attraction_grade,attraction_heat,attraction_score,attraction_address,comments_total,positive_comments,after_consumption_comments,negative_comments,username,comment_score,comment_grade,comment_content,comment_time,user_ip
雅丹之眼,,4.0,,青海省海西蒙古族藏族自治州格尔木市315国道乌素特(水上)雅丹地质公园,,,,,,,,,,
龙羊湖景区,,4.0,3.9,海南藏族自治州共和县龙羊峡镇,20.0,15.0,11.0,4.0,,,,,,
青海湖-鸟岛景区,,4.0,4.4,海北藏族自治州刚察县青海湖附近,364.0,306.0,115.0,16.0,,,,,,
天然大佛,,4.0,4.0,西宁市城北区祁连路西，北山寺（北禅寺）在山上,10.0,7.0,,2.0,,,,,,
天空之镜广场,,4.0,4.8,海西蒙古族藏族自治州乌兰县茶卡盐湖景区,5.0,5.0,,,,,,,,
七里花海,4A,4.0,5.0,海东市民和回族土族自治县古鄯镇山庄村,6.0,6.0,4.0,,,,,,,
塔尔寺-八宝如意塔,,4.0,4.6,青海省西宁市湟中区区西南25公里的鲁沙尔镇西南隅莲花山,133.0,126.0,,,,,,,,
巴音河,,4.0,4.6,青海省海西蒙古族藏族自治州德令哈市,59.0,52.0,,1.0,,,,,,
海子诗歌陈列馆,,4.0,4.3,海西蒙古族藏族自治州河西街道莲湖路海子诗歌陈列馆,18.0,17.0,,,,,,,,
昆仑公园,,3.9,4.3,青海省海西蒙古族藏族自治州格尔木市昆仑中路11号,67.0,52.0,,3.0,,,,,,
彩虹部落土族园,,3.9,4.2,海东市互助县威远镇振兴大道西路口,53.0,39.0,36.0,5.0,,,,,,
青藏高原野生动物园-大型珍稀动物馆,,3.9,,西宁市城西区虎台街道青藏高原野生动物园海洋馆,,,,,,,,,,
环湖东路,,3.9,4.0,青海省海北藏族自治州海晏县,4.0,2.0,,,,,,,,
祁连天境圣湖托茂部落景区,,3.9,,盘大公路多隆乡东北方150米,,,,,,,,,,
南禅寺,,3.9,4.6,西宁市城中区南山路79号,60.0,58.0,,,,,,,,
金塔寺,,3.9,4.5,西宁市城中区宏觉寺街9号(向阳印刷厂西),43.0,38.0,,,,,,,,
天峻石林,,3.9,4.4,德令哈市天峻县城西部的天峻山上,5.0,4.0,,,,,,,,
大柴旦魔鬼城,,3.9,,青海省海西蒙古族藏族自治州大柴旦行政委员会直辖,,,,,,,,,,
俄博梁硫磺湖,,3.8,5.0,海西蒙古族藏族自治州直辖茫崖市S305俄博梁景区内,2.0,2.0,,,,,,,,
青海湖藏族民俗博物馆,,3.8,4.7,海南藏族自治州共和县青藏公路109国道青海湖宾馆附近,40.0,37.0,,,,,,,,
青海刚察草原,,3.8,4.6,海北藏族自治州刚察县东大街刚察县民族中学,5.0,4.0,,,,,,,,
祁连天桥山风景区,,3.8,4.5,青海省海北藏族自治州祁连县黄藏寺公路,2.0,2.0,1.0,,,,,,,
尕海湖,,3.8,4.4,海西蒙古族藏族自治州德令哈市尕海镇,59.0,52.0,,4.0,,,,,,
八瓣莲花非物质文化遗产传承体验中心,,3.8,4.4,青海省西宁市湟中区迎宾路189号,34.0,29.0,4.0,3.0,,,,,,
胡杨林省级自然保护区,,3.8,3.0,青海省海西蒙古族藏族自治州格尔木市郭勒木德乡托拉海牧业社,,,,,,,,,,
三岔河大桥,,3.8,4.5,青海省海西蒙古族藏族自治州格尔木市,12.0,10.0,,,,,,,,
照壁山,,3.8,5.0,青海省海北藏族自治州门源回族自治县浩门镇壁照山,5.0,5.0,4.0,,,,,,,
格尔木河,,3.8,4.5,青海省海西蒙古族藏族自治州格尔木市河(柳格高速公路东300米),15.0,13.0,,,,,,,,
万丈盐桥,,3.8,3.7,海西蒙古族藏族自治州格尔木市察尔汗盐湖之上,10.0,6.0,,1.0,,,,,,
中心广场,,3.8,4.6,西宁市城中区长江路,111.0,98.0,,,,,,,,
三江源国家级自然保护区,,3.8,4.7,玉树藏族自治州称多县214国道西100米,45.0,40.0,,,,,,,,
221基地地下指挥中心,,3.8,,海北藏族自治州海晏县西海镇西大街6号(近西海影剧院),,,,,,,,,,
阿尼玛卿山,,3.8,4.6,果洛藏族自治州玛沁县西北部,36.0,34.0,,1.0,,,,,,
青海格尔木昆仑山国家地质公园,,3.8,4.6,南部,5.0,4.0,,,,,,,,
结古寺,,3.8,4.8,玉树藏族自治州玉树市结古镇东结古山上,35.0,34.0,,,,,,,,
冷湖火星露营地,,3.8,3.0,青海省海西蒙古族藏族自治州茫崖市冷湖镇火星一号公路80公里处,,,,,,,,,,
二郎剑游船,,3.8,4.4,海南藏族自治州共和县109国道二郎剑景区内,59.0,50.0,,2.0,,,,,,
黑马河镇观日之城,,3.8,,海南藏族自治州共和县环湖西路共和星旅自驾游营地东北侧约270米,,,,,,,,,,
达坂山,,3.7,4.5,海北藏族自治州门源回族自治县,53.0,48.0,,,,,,,,
沱沱河,,3.7,4.5,青海省海西蒙古族藏族自治州格尔木市,39.0,35.0,,,,,,,,
宗家沟文化旅游景区,4A,3.7,3.4,西宁市湟源县日月藏族乡大石头村166号,30.0,18.0,26.0,8.0,,,,,,
西宁市园林植物园,,4.2,4.6,西宁市城西区西山三巷5号,59.0,57.0,,,,,,,,
德令哈市步行街,,3.7,5.0,祁连路12号,5.0,5.0,,,,,,,,
岗什卡七彩冰瀑布,,3.7,4.3,海北藏族自治州门源回族自治县岗什卡山脚下(青石嘴沿宁张公路向北走约5公里，路右侧见路牌拐弯，走砂石路约10公里到。),3.0,3.0,,,,,,,,
峨堡古城遗址公园,,3.7,3.6,海北藏族自治州祁连县峨堡镇200号,43.0,21.0,,1.0,,,,,,
冷湖,,3.7,4.8,海西蒙古族藏族自治州茫崖市冷湖行政委员会,6.0,6.0,,,,,,,,
昆仑玉文化博物馆,4A,3.7,4.0,西宁市城北区经三路32-2号,4.0,3.0,,1.0,,,,,,
仙米国家森林公园,,3.7,4.6,海北藏族自治州门源县仙米林场,36.0,32.0,,,,,,,,
中国工商银行石油小镇遗址,,3.7,,青海省海西蒙古族藏族自治州冷湖行政委员会冷湖镇,,,,,,,,,,
西宁小峡,,3.7,4.6,西宁市城东区八一路附近,12.0,11.0,1.0,,,,,,,
大黑沟森林公园,,3.7,2.8,东峡乡109国道与G6京藏高速交叉口西100米,5.0,2.0,,3.0,,,,,,
格尔木昆仑旅游区,4A,3.6,4.5,格尔木市昆仑文化旅游区,16.0,14.0,,,,,,,,
可可西里雪山观景台,,3.6,,玉树藏族自治州治多县京拉线,,,,,,,,,,
【西宁】玩美音雄超级演唱会,,5.5,,青海省西宁市海湖新区五四西路88号,,,,,,,,,,
清清黄河景区,,3.6,5.0,青海省海南藏族自治州贵德县南滨河路黄河边,1.0,1.0,,,,,,,,
塔尔寺游客服务中心,,3.6,4.6,西宁市湟中区金塔路东150米,24.0,22.0,,1.0,,,,,,
格尔木NODE星球,,3.6,4.6,海西蒙古族藏族自治州格尔木市柴达木中路盐湖小区,5.0,4.0,,,,,,,,
大柴旦五彩山谷景区,,3.6,,海西蒙古族藏族自治州大柴旦行政委员会人民西路,,,,,,,,,,
祁连伦布夏果旅游景区,,3.6,4.6,青海省海北藏族自治州祁连县八宝镇小拉洞峡谷,13.0,12.0,,1.0,,,,,,
瞿昙寺,,3.8,4.6,青海省海东市乐都区瞿昙镇东北路,51.0,47.0,,1.0,,,,,,
酥油花馆,,3.6,4.7,西宁市湟中区塔尔寺景区,27.0,26.0,,,,,,,,
大柴达木湖,,3.6,4.5,青海省海西蒙古族藏族自治州大柴旦行政委员会柴旦镇直辖,20.0,17.0,,,,,,,,
龙羊峡土林景区,,3.5,3.0,海南藏族自治州共和县305县道,2.0,1.0,1.0,1.0,,,,,,
文迦牧场,,3.5,4.4,青海省海北藏族自治州海晏县三甘公路与环湖东路中国国能石油斜对面,13.0,11.0,4.0,1.0,,,,,,
昆仑大峡谷,,3.5,,青海省海西蒙古族藏族自治州格尔木市,,,,,,,,,,
哈拉湖,,3.5,4.6,"青海省,德令哈市,北部, 817000",11.0,11.0,,,,,,,,
可可西里自然保护区不冻泉,,3.5,4.6,玉树藏族自治州可可西里国家级自然保护区109国道北50米,17.0,14.0,,,,,,,,
天文科普馆,,3.5,4.5,青海省海西蒙古族藏族自治州德令哈市长江路36号,10.0,8.0,,,,,,,,
大新街夜市,,3.5,,青海省西宁市城中区兴隆巷14号,,,,,,,,,,
祁连山国家公园,,3.5,,青海省海北藏族自治州祁连县G227(张孟线),,,,,,,,,,
十二盘坡,,3.5,5.0,威北公路附近,4.0,4.0,,,,,,,,
冷湖火星小镇,,3.5,5.0,青海省海西蒙古族藏族自治州茫崖市冷湖镇火星一号公路80公里处,5.0,5.0,,,,,,,,
柏树山,,3.5,4.8,德令哈市北面10公里处,21.0,20.0,,,,,,,,
《西宁盛典》表演,,3.5,4.6,西宁市城西区长江路114号西宁体育馆,18.0,16.0,5.0,,,,,,,
将军楼公园,4A,3.5,4.4,青海省海西蒙古族藏族自治州格尔木市交通巷与开拓街交叉口,40.0,32.0,,3.0,,,,,,
柴达木公园,,3.5,,西宁市城北区西关大街44号纺织品百货大楼F6,,,,,,,,,,
西大滩景区,,3.5,4.8,海西蒙古族藏族自治州格尔木市一〇九国道,8.0,8.0,,,,,,,,
孟达天池,4A,3.5,4.4,青海省海东市循化撒拉族自治县清水乡孟达村,62.0,54.0,,3.0,,,,,,
尕日拉寺,,3.5,4.3,青海省海南藏族自治州共和县石乃亥乡尕日拉村,14.0,11.0,,2.0,,,,,,
牧羲赤·大地之血,,3.5,,青海省海西蒙古族藏族自治州G315,,,,,,,,,,
青海美术馆,,3.5,3.9,青海省西宁市城西区西关大街58号,8.0,6.0,,2.0,,,,,,
青海省三江源玛多国家公园,,3.5,4.8,青海省果洛藏族自治州玛多县G214,8.0,8.0,,,,,,,,
寄畅园,,3.5,,海西蒙古族藏族自治州格尔木市安居北路与学苑路交叉路口往东南约190米,,,,,,,,,,
黄河源景区,,3.5,4.5,扎陵湖乡,19.0,17.0,,,,,,,,
水上雅丹房车营地,,3.5,,海西蒙古族藏族自治州格尔木市大柴旦行委西台2号,,,,,,,,,,
观鱼台,,3.5,4.6,青海省海北藏族自治州刚察县京拉线(109国道北侧)青海湖景区内,14.0,13.0,,,,,,,,
玉树市文成公主纪念馆,,3.4,4.6,玉树市巴塘乡冰达村,41.0,37.0,,3.0,,,,,,
黄河大峡谷景区,,3.4,4.5,龙羊峡镇拉西瓦水库，距离龙羊峡镇20公里左右,19.0,18.0,11.0,1.0,,,,,,
玉珠峰登山大本营,,3.4,4.6,玉珠峰南坡海拔4900米处,7.0,6.0,,,,,,,,
昆仑山地质公园博物馆,,3.4,4.0,青海省海西蒙古族藏族自治州格尔木市青年巷61号,6.0,4.0,,,,,,,,
尕斯库勒湖,,3.4,3.0,花土沟镇315国道旁尕斯库勒湖,2.0,1.0,,1.0,,,,,,
老爷山,4A,3.4,4.5,西宁市大通县桥头镇的北川河畔,75.0,65.0,16.0,5.0,,,,,,
拱辰门,,3.4,4.3,西宁市城中区北大街3号,35.0,29.0,,2.0,,,,,,
青海高原,,3.4,,China,,,,,,,,,,
天空之镜体验区,,3.4,,海西蒙古族藏族自治州乌兰县茶卡镇盐湖路9号茶卡盐湖景区天际心悦,,,,,,,,,,
青海省自然资源博物馆,,3.4,,西宁市城西区彭家寨镇海晏路75号,,,,,,,,,,
黑石山水库,,3.4,4.8,德令哈市以北4公里处的巴音河黑石山山口,6.0,6.0,,,,,,,,
青海湖热气球,,3.4,4.6,海南藏族自治州共和县江西沟乡青海湖二郎剑景区内,22.0,19.0,,,,,,,,
昆仑圣都扎麻隆凤凰山,,3.4,,青海省西宁市湟中区西湟一级公路与103省道交汇处东北150米,,,,,,,,,,
大柴旦柴兴蒙古包露营地,,3.4,5.0,青海省海西蒙古族藏族自治州大柴旦镇G3011,2.0,2.0,,,,,,,,
可可西里藏羚羊观景台,,3.4,4.6,玉树藏族自治州治多县109国道北50米,29.0,25.0,,,,,,,,
青海贵德黄河清国家湿地公园,,3.4,3.8,101省道,9.0,6.0,,1.0,,,,,,
扎陵湖,,3.4,4.8,果洛藏族自治州玛多县,10.0,10.0,,,,,,,,
德令哈市中心广场,,3.4,5.0,海西蒙古族藏族自治州德令哈市柴达木东路21号,4.0,4.0,,,,,,,,
黑河大峡谷,,3.4,4.2,海北藏族自治州祁连县二尕公路附近,9.0,8.0,,,,,,,,
新寨玛尼城（嘉那玛尼堆）,4A,3.4,4.6,玉树市结古镇以东9公里的新寨村,16.0,15.0,,,,,,,,
盐雕公园,,3.4,4.4,海西蒙海西蒙古族藏族自治州乌兰县茶卡盐湖景区内,5.0,5.0,,,,,,,,
溶洞温泉,,3.4,2.7,青海省西宁市城西区海晏路19号,6.0,2.0,2.0,3.0,,,,,,
青海湖沙岛,,3.3,4.5,海北藏族自治州海晏县青藏公路109国道距青海西宁市151公里处,205.0,182.0,109.0,4.0,,,,,,
宗喀大慈宏觉寺,,3.3,4.7,西宁市城中区宏觉寺街26号,6.0,6.0,,,,,,,,
共和县青海湖黑马河草原风情园,,3.3,,海南藏族自治州共和县加隆京拉线草原风情园,,,,,,,,,,
察尔汗盐湖观景台,,3.3,,青海省海西蒙古族藏族自治州格尔木市察尔汗盐湖内,,,,,,,,,,
格尔木市博物馆,,3.3,3.0,海西蒙古族藏族自治州格尔木市昆仑路中路88号,,,,,,,,,,
通天河,,3.3,4.6,玉树藏族自治州称多县,19.0,17.0,,,,,,,,
倒淌河,,3.3,,青海省海北藏族自治州门源回族自治县,,,,,,,,,,
青海大学,,3.3,4.7,西宁市城北区宁大路251号,33.0,32.0,,,,,,,,
平安驿河湟文化体验地,4A,3.3,4.9,青海省海东市平安区平安镇驿州大街115号,13.0,13.0,2.0,,,,,,,
百里油菜花景区-观景台,,3.3,,百里油菜花景区内,,,,,,,,,,
香日德镇,,3.3,,青海省海西蒙古族藏族自治州都兰县,,,,,,,,,,
油菜花观花台,,3.3,4.8,海北藏族自治州门源回族自治县浩门镇浩门农场,14.0,14.0,,,,,,,,
新寨嘉那嘛呢石经城,,3.3,4.7,青海省玉树藏族自治州玉树市新寨东路,3.0,3.0,,,,,,,,
