username,comment_score,comment_grade,comment_content,comment_time,user_ip
试睡员—026,1,不佳,看介绍去的 几乎没人 街二旁门脸大部分都是关门的 街上很冷清 非常萧条 没一点气氛 慕名而来 扫兴而归 建议大家别去 没任何看的玩的 太差了。在对面大院里停车 五元一次 附近都是小店 没什么生机。,2018-08-20,
kon****59,2,一般,这里的建筑许多是新的，只有城堭庙和商行有一点老建筑，还有服装表演、升堂表演只为团队演出，其它什么都没有，我们两人买了两张门票，80元/张，进去一趟，感觉非常不值，有上当的感觉。,2018-06-05,
试睡员—026,1,不佳,看介绍去的 几乎没人 街二旁门脸大部分都是关门的 街上很冷清 非常萧条 没一点气氛 慕名而来 扫兴而归 建议大家别去 没任何看的玩的 太差了。,2018-04-13,
匈奴铁骑,1,不佳,没什么意思，还再修缮中！大老远跑过去啥都没看到！,2017-09-15,
莫妮胖小卡,1,不佳,就一条购物大街，任何景点都收费，没意思,2016-11-15,
浪尖骄子,2,一般,最后悔的一次滑雪。票价不便宜，光雪圈一小时80元，还有场馆好多霸王条款，超过规定时间15分钟按半小时收费，但不到时间一概不退款。寄存包裹还令收费。,2018-02-20,
溪桥人家,1,不佳,见图吧！说明了一切👎不明白为何大家推荐,2020-08-06,
M16****949,1,不佳,文成公主廟一點都不好玩 地方又小 也沒有什麼風景 去了幾分鐘就走了 哪裏什麼都沒有！你們還真以為這裏好玩 根本就不是那麽回事 差 差 差,2020-07-16,
卞凯1989,2,一般,很不错，原生态，藏族风情。配套设施不好。,2016-11-29,
老子^_^李聃,2,一般,值得停留欣赏绝美风景就是挺冷的,2022-08-01,重庆
_WeCh****10750,1,不佳,不建议去，下面看看就好了，上面还不如下面，,2023-09-04,青海
Palal,2,一般,绕着一圈看看，去了才知道也就一般，毕竟西宁的夜景和一线还是存在差距。。而且，走完一圈基本一分钟，窗户外面都是一条条的挡板，非常影响拍照效果。。。景色一般，可玩性低，,2020-12-17,未知
迁西秦穆公,1,不佳,感觉在外面照个相就足够了，真的没必要去上面吃了个水煮虾尽然没熟，服务员还说是虾头油😥😥😥,2020-08-01,未知
凉宫 春日,2,一般,交通非常不方便，而且上面景色一般。安检竟然不能带水进去，我每到一个城市必登高，这还是第一次碰到，简直搞笑,2020-06-27,未知
_WeCh****59537,2,一般,卫生太差，环境一般，灯光很暗，没有餐食性价比低，可玩性低，景色一般，,2020-05-28,未知
牧童121,1,不佳,不值得去，服务特别差，硬件也不敢恭维,2019-06-14,未知
_WeCh****04768,1,不佳,政府的景点，军人不免费，必须差评,2018-10-01,未知
Xin🐵上🐰人,2,一般,很一般，去五楼看了一圈就没了，啥也没有，五分钟都不到就结束了,2018-04-05,未知
念滒,1,不佳,很low！今天是公开设立免费日一样还是收费！就是忽悠群众！人多也没有想太多就付款了，但看完之后觉得很失望！服务态度也差！也没有什么特别好看还不如博物馆！,2017-10-02,未知
M42****6835,2,一般,没多大意思,2024-08-23,甘肃
M32****5644,2,一般,买的动物园门票和熊猫馆的票，海洋馆还要另外收费50元，买的时候说，全可以，真坑人，下次不来了，不推荐。,2024-08-19,青海
匿名用户,1,不佳,**的很，付费项目太多，一样一般！,2024-08-17,甘肃
M22****6286,1,不佳,成人票50，我觉得最多值5块钱，真是一个非常可笑的馆，是哪里来的勇气敢收费的。,2024-08-13,甘肃
M22****6286,1,不佳,真是一个可笑的场馆，还单独收费。,2024-08-13,甘肃
189****6997,1,不佳,不值得，10块钱都不值,2024-08-11,河南
M47****9841,1,不佳,超级超级超级坑人,2024-08-11,青海
匿名用户,1,不佳,当当不一样,2024-08-10,青海
匿名用户,1,不佳,明明买了门票，里面熊猫馆和海洋馆还要单独收费，这次西北之行最差体验感。骗子，想钱想疯了。建议大家慎重考虑，全国最差动物园。,2024-08-10,青海
匿名用户,1,不佳,去吧，一去一个不之声,2024-08-04,青海
M43****3636,1,不佳,一点意思没有的动物园。,2024-08-03,甘肃
匿名用户,1,不佳,很一般 好多动物都没看到,2024-07-29,青海
詹姆斯 James 億群投资,1,不佳,太坑人了，走路一小时被蒙坐车。馆中馆熊猫馆还要买票。,2024-07-28,广东
M57****0975,1,不佳,景区门口人员态度极差，骂人，海洋馆，观光车，熊猫馆单独收费，,2024-07-25,青海
匿名用户,2,一般,铜臭味十足,2024-07-14,青海
M58****2790,1,不佳,严重与实物不符,2024-06-27,新疆
M74****2093,1,不佳,不值得去，熊猫馆熊猫特别少，基本上没有，还要另外的收钱，体验感非常差,2024-05-01,青海
匿名用户,1,不佳,巨坑，不会再有第二次了。里面很稀有的指示牌，25块钱电频车，以为每个点都会停，结果人家有固定的站点，你下车还得走回头去看错过的馆，然后再返回电频车站点等车，根本就不需要买电频车票。去的大多都是本地人和少数几个省的免费逛的，花钱去真的太坑人了。猛兽区，就狼，老虎狮子和熊，人在高高的桥上，动物在下面远远隔着好几道栅栏，有的还在笼子里，要是动物不活动，甚至根本都看不到里面有动物，离的太远了。所有的动物离人好远，更别说互动什么的，小孩根本就没看过瘾，泱泱着说白来了一趟，啥都没看到，再也不来了,2024-01-03,甘肃
匿名用户,1,不佳,可以说这么多是很差的了,2023-12-06,广东
家贫人丑,1,不佳,垃圾死了，雪豹馆没有雪豹，什么都没有，真搞笑,2023-08-28,青海
M43****3636,1,不佳,一点意思没有的动物园。,2024-08-03,甘肃
匿名用户,1,不佳,很一般 好多动物都没看到,2024-07-29,青海
詹姆斯 James 億群投资,1,不佳,太坑人了，走路一小时被蒙坐车。馆中馆熊猫馆还要买票。,2024-07-28,广东
M57****0975,1,不佳,景区门口人员态度极差，骂人，海洋馆，观光车，熊猫馆单独收费，,2024-07-25,青海
匿名用户,2,一般,铜臭味十足,2024-07-14,青海
M58****2790,1,不佳,严重与实物不符,2024-06-27,新疆
M74****2093,1,不佳,不值得去，熊猫馆熊猫特别少，基本上没有，还要另外的收钱，体验感非常差,2024-05-01,青海
匿名用户,1,不佳,巨坑，不会再有第二次了。里面很稀有的指示牌，25块钱电频车，以为每个点都会停，结果人家有固定的站点，你下车还得走回头去看错过的馆，然后再返回电频车站点等车，根本就不需要买电频车票。去的大多都是本地人和少数几个省的免费逛的，花钱去真的太坑人了。猛兽区，就狼，老虎狮子和熊，人在高高的桥上，动物在下面远远隔着好几道栅栏，有的还在笼子里，要是动物不活动，甚至根本都看不到里面有动物，离的太远了。所有的动物离人好远，更别说互动什么的，小孩根本就没看过瘾，泱泱着说白来了一趟，啥都没看到，再也不来了,2024-01-03,甘肃
匿名用户,1,不佳,可以说这么多是很差的了,2023-12-06,广东
家贫人丑,1,不佳,垃圾死了，雪豹馆没有雪豹，什么都没有，真搞笑,2023-08-28,青海
匿名用户,1,不佳,路上风景比里面好多了，就是围个地方让人玩水上项目,2023-08-16,福建
ku****zgk,1,不佳,非常失望，想看的大部分的动物都没看到，都在屋子里，兔狲等一个也没看到，所有人都在骂，太差劲的动物园，上当受骗,2023-08-12,甘肃
匿名用户,1,不佳,完全没有动物园该有的样子！门票50，馆内还有隐藏消费！熊猫馆花了20就进去看了三只熊猫！珍稀动物一栏里竟然只看到了一只河马？！河马住的一方有个水潭脏得像化粪池！就是这样对待动物的吗？！在猛兽区确实看到了狼、狮子和熊，但不知道是不是参观的时间不太对，除了熊都没什么活力（我是在八月份的下午四点去的）。猴比较有活力推荐去看，别的真的没什么亮点。讲真的来这里真的让我沉默。沉默了真的,2023-08-10,青海
匿名用户,1,不佳,体验感极差！,2023-08-06,青海
匿名用户,2,一般,动物很少，有些鸟，雪豹玻璃隔着看不清，阳光刺眼，玻璃也脏贴上去都很难看清楚里面的东西……,2023-08-03,青海
M43****1274,1,不佳,里面没多少动物，坐电瓶车比门票还贵，走路的人都在找熊猫馆，都说绕了好久，看似路上有去熊猫馆的特别指引，每次在岔路口就消失。。。出去的指引也没有，很多人都迷路了。感觉是要让人买电瓶车票的,2023-08-03,青海
M22****9699,1,不佳,没什么意思，靠着青藏高原两个字吸引游客，狮子老虎都关着。大家假期都挺宝贵，不必在这里浪费时间,2023-07-30,甘肃
M23****1651,2,一般,挺差劲的，奔着雪豹兔狲藏狐去的，啥也没看到，这个不怪动物园的话那各种二次消费，可怜巴巴的动物数量、馆舍环境是我去过的动物园里最差的,2023-07-23,河南
西红柿不生吃,1,不佳,可能期待值太高，实际蛮差的。去的时候可能正赶上装修，有几种特色的动物。作为西宁的一个特色，有点牵强了。熊猫馆确实是熊猫，进去后像倒闭了。,2023-07-22,北京
延熙,2,一般,没意思，想看的熊猫都在睡觉，猛禽都在笼中，就是气温低，避暑可以,2023-07-19,青海
mix丶小宁,1,不佳,真的垃圾！,2023-06-30,青海
300****110,1,不佳,现场购票是野生动物园和熊猫馆可以单独购买的。携程非得搞套票。垃圾！建议大家现场购票。,2023-06-16,青海
勇者不惧，卓有成效,1,不佳,不知道这个是***动物园还是私人的，自己带的食品居然不让吃，前提是自己还点了餐厅的食物，我们到那个城市，都不会出现这样的问题，如果我们没有在里面消费，我们占用人家的餐桌，我们应该处服务费的，只能差评，差评,2023-05-03,青海
M45****9584,1,不佳,完全不好的体验！！！！,2023-05-01,青海
M27****4055,1,不佳,太坑了 下午动物都睡了 线上必须买套票 线下买30块 猛兽区维修 啥都看不上 能看见的动物就是是羊驼 驴 斑马 各种鹿 鸵鸟 脏兮兮的  海洋馆还要单独收费 观光车25/人 湖也干了 鸭子跟鱼都看不到 鸟也看不到,2023-04-02,青海
马瑜茹雪,2,一般,整个熊猫馆就两只熊猫，猛兽区不能看，百鸟园也不能看，好多都是空的！差不值,2023-03-18,青海
M99****84,1,不佳,山路，爬起来很累，所以呀请坐区间车，熊猫惹人爱，所以收费，可惜在睡觉，还以为是标本，海洋馆好神奇，什么鱼不知道，没有明确的路标，容易迷路，带孩子的请注意。,2022-08-11,青海
去留无意,1,不佳,青海省野生动物园应该每个馆都单独收费，游客每进一个馆收一次费，才能体现野生动物园的档次和服务。,2022-05-03,未知
_CFT****55854,2,一般,品种不多，动物感觉死气沉沉的。,2021-09-16,未知
M30****3517,1,不佳,8月8日下午4点30分，在熊猫馆出口拐角处差点被尾号255的观光车撞了，车速度很快，拐弯直接拐到路牙子下面去了，太差劲了，明明人站边上躲开了，他还硬拐。,2021-08-08,未知
_cmb43****2201248,1,不佳,没有什么动物，地方特别小，很多空动物笼子,2021-05-26,未知
媛香菜,2,一般,没什么意思，不知道为什么那么多好评，除了兔狲，藏羚羊可能一般动物园没有，其余动物都是动物园常见的，不推荐外地行程紧张的游客来玩，园区动物种类少，但是园区大，所以走路爬山又累可观赏性不大，没拍，放几张青海湖拍的，避雷评价,2021-05-03,未知
兰登司马谈,1,不佳,刚去了，啥也没啥，连个动物介绍牌都没有。,2021-03-24,未知
天府花椒,1,不佳,这是我去过最最最差劲的“野生”动物园。首先，它一点也不野生，动物全部圈养在笼舍里，毫无“野生”二字可言。第二，园区没有任何小朋友和动物亲密互动的地方，不能让小朋友喂养小动物体验童趣，连草食动物区全都隔着两层栅栏，游客毫无机会与动物亲密接触，我不知道这样的动物园对于带孩子游玩还有什么意义。可能是我带孩子去过的动物园较多（例如北京的大兴野生动物园和八达岭野生动物园我们都常去），所谓没有比较就没有伤害，这家真的太太太差劲👎。第三，园区管理极差，工作人员并不少，但全都用在了不该用的地方。电瓶车乘车点没有秩序管理员，高峰期要等十多分钟才来一辆车，所有游客根本不排队、一窝蜂的上去抢位置也没人管，如果没有学到当地少数民族彪悍的作风，真的不建议去买电瓶车票，因为根本抢不到位置。所有工作人员的精力全都花在了像防贼一样的防着游客身上，小朋友想跟熊猫馆外面的动物雕塑照个相，工作人员在很远的地方就指手划脚的吼我们，生怕小朋友踩草坪；我拿纸巾擦公园的长凳准备坐（因为之前下了雨凳子是湿的），工作人员又走到面前盯着，生怕我们乱扔纸巾；猴山边上站着两个聊天的工作人员，是为了防着游客投食的。说实话这样的管理我真的觉得很可笑，有一种东施效颦、矫枉过正的感觉，想模仿、学习大城市里大型动物园的规范管理，但又把人力物力用错了地方，还让游客从头到尾的感到不舒服！此次是来青海湖旅游顺路游览的一个景点，我们全家以后肯定不会再来！！！,2020-08-24,未知
M26****0168,1,不佳,真的不咋地，动物都在房子里，环境恶略,2020-08-17,未知
M28****5462,2,一般,总的来说，我去那的目的是为了看雪豹、湟鱼和面瘫脸兔狲的，去的时候下雨，雪豹只出来了2只，还是很有野性的，豹馆的雪豹死死盯住我咆哮，之后看到了一只兔狲，哈哈哈，笑死我了，真的沙雕，然后海洋馆要另交50块钱，没进去，太不值了，巴掌大块地要收50，自行斟酌吧。熊猫馆，感觉动物园的经费全用在这了😂，进去以后感觉像进错了一样，绝了，下面有图，自己看吧,2020-07-19,未知
兔果果兔,1,不佳,没什么值得去的，啥也没有，好多动物都不出来，出来的也懒洋洋可怜兮兮的，很差的体验,2019-08-18,未知
M24****0185,2,一般,动物们很干净，没什么味道，绿化也很好。就是太大了...观光车停运了，无期限停运....多数时间都是在走，动物其实挺少的，算是来爬山了,2019-08-13,未知
_WeCh****416827,1,不佳,野生动物园，设施设备非常的差，圈养动物的地方太脏了，真担心他们的生存状态！动物们都脏兮兮的，无精打采的。动物种类也非常少，转30分钟就想出来，非常不建议，不建议！,2019-07-19,未知
chen****min,1,不佳,垃圾中的战斗机，四点半就叫我说不要进园了，没电瓶车用走的你看不完没必要，事实上我走完还是绰绰有余。这还其次，来这里最主要是看高原动物，最宝贵的普氏原羚才一只，而且还隔了两道屏障，其余则是动限不明，标示不清。不去也罢，对了，还有门口的车因为停车场太小，闸门不开，活生生排队了近半个小时才进去，劝各位如果真的是高原动物发烧友，自驾进去吧,2019-07-14,未知
M21****488,2,一般,动物都太少，有些都看不见，想长劲鹿之类的，总之人很多，动物看的不怎么开心，整个动物园的动物死气沉沉的，没有一点活力,2019-05-06,未知
卡布奇諾,1,不佳,没有啥看的 当成徒步爬山还行！ 去过一次不想再去第二次了  动物也很少,2019-04-08,未知
茼蒿菇凉,1,不佳,施工 尘土飞扬。。。。。不太安全，到处是施工车来来往往。。。看高原动物还行，有的比较稀缺，比如黑颈鹤等，但总体来说，那些动物都没啥精神，看着乏味,2019-04-07,未知
M25****1469,1,不佳,下了公交根本找不到地方，只好打的过去，下来才发现在一段修建的公路边，地方真心偏。进去发现，动物园路面，墙壁，玻璃都是裂的，整个一危房。里面的指示牌还是错的，这都能错，无语了。逛了一小时赶紧出来了，花钱受罪，说的就是来这里，真真正正的坑,2019-01-18,未知
M19****497,1,不佳,一般般感觉没有想象中的好。！,2019-01-08,未知
旭尧慢慢成长,1,不佳,辣鸡  什么动物都没有辣鸡辣鸡,2018-10-10,未知
206****982,2,一般,总体还可以，一个小的破海洋馆还要额外收费，成人50，儿童20，比门票价格都贵，真坑人！要额外收费就提前标明清楚！,2018-08-10,未知
135****8338,1,不佳,儿童不足1.4米强制收成人票，园区距离远，没有什么可看的。好评的游客麻烦去广州长隆野生动物看看，看过就知道什么是动物园。,2018-07-24,未知
ne_0921,2,一般,什么海洋馆 乌起码黑 闷热难受 几只鳄鱼 几条蛇 还有可怜的雪貂被管着,2018-07-05,未知
M25****6138,1,不佳,不错孩子很喜欢，玩的很开心，动物也很多,2018-06-27,未知
很好很好的狼,2,一般,后悔进去，看介绍很好，被坑了。,2017-07-24,未知
_CFT01****3555725,1,不佳,亲子乐园压根就是骗人的，东西基本是坏的，全是土还20元，建议不要去,2017-06-25,未知
snollow,2,一般,很无聊的出行，没什么意思，动物很少，很懒，场馆很大但动物的生活面积很小，最奇怪的是它在山坡上，上坡忒累了点，下坡也不舒服，没劲,2016-08-15,未知
少华哈哈哈,1,不佳,天太热，小动物们都睡觉了，不过鸟类保护的很好，好多没见过的,2016-06-21,未知
很好很好的狼,2,一般,后悔进去，看介绍很好，被坑了。,2017-07-24,未知
_CFT01****3555725,1,不佳,亲子乐园压根就是骗人的，东西基本是坏的，全是土还20元，建议不要去,2017-06-25,未知
snollow,2,一般,很无聊的出行，没什么意思，动物很少，很懒，场馆很大但动物的生活面积很小，最奇怪的是它在山坡上，上坡忒累了点，下坡也不舒服，没劲,2016-08-15,未知
少华哈哈哈,1,不佳,天太热，小动物们都睡觉了，不过鸟类保护的很好，好多没见过的,2016-06-21,未知
空中课堂,2,一般,一两公里长的堰塞湖，山坡上野花很多，湖里鱼多，120元票价，一小时转完。从玛曲过去，几乎全程修路。百度导航推荐的路线极差，建议用高德。,2016-07-26,
匿名用户,2,一般,水乐园温度太低，很多大人喊冷，孩子发抖。免费的浴巾多数用来取暖，但是每个手牌限一个，如果带了孩子就只能冻着。建议带孩子的，带个自己的浴巾或者小被子。儿童滑滑梯的区域，发现一滩脏水，不明物质，还带一只虫子尸体。写了投诉电话，形同虚设，无人接听。付款的时候，和收银小姐姐反馈了。回应会尽快处理。,2023-08-20,青海
匿名用户,2,一般,水乐园温度太低，很多大人喊冷，孩子发抖。免费的浴巾多数用来取暖，但是每个手牌限一个，如果带了孩子就只能冻着。建议带孩子的，带个自己的浴巾或者小被子。儿童滑滑梯的区域，发现一滩脏水，不明物质，还带一只虫子尸体。写了投诉电话，形同虚设，无人接听。付款的时候，和收银小姐姐反馈了。回应会尽快处理。,2023-08-20,青海
xia****ui,1,不佳,随意收走顾客东西,2023-07-22,青海
我们之间,2,一般,真的太没有意思了，里面很小，温泉水非常脏，水上乐园滑梯项目体重170以上不能玩，不过这个是为了大家安全可以理解，冲浪池水很浅，浪也小得可怜，我们进去最多半个小时就出来了！,2021-07-24,
E22****77,2,一般,地方很大，也很好玩，午餐味道不错，价格也不高，所有都很好，本来开开心心的玩了一天。结果没想到出来结账前台的工作人员好像所有客人都欠她钱一样，那态度，太恶劣，问她开发票，她说她们温泉从来没有税务的发票，没有见过什么是发票。你可以不给我开，但是从来没有发票就不怕税务局来查？那个白眼翻的，一天的好心情全部都没有。这么好的地方，因为工作人员的素质太差影响体验真是太可惜了,2021-07-08,
_WeCh****58406,2,一般,我就想问一下，你们温泉水上乐园只给双亲家庭开放？单亲不能带着孩子来？来了怎么换衣服？洗澡？你们哪个门都分的那么清楚，那孩子我们怎么带进去？还是说你们应该在门口写上，单亲勿入？,2020-11-28,
_WeCh****864326,1,不佳,服务态度差，服务员业务流程都不懂，真的一路坎坷，本来国庆开开心心玩的，最后搞得一家都不开心，第一次来的小心体验不佳，,2020-10-04,
wh0422,1,不佳,差不多每个月都会来一次，这次是最差最差最差的一次，以前看别人评价说服务态度不好，我觉得还好这次是真的体会到有多么的不好了，前台的小姐姐请问你怎么了呢？啥心情不好了撒气在我们身上，真的是服气了啊！,2020-08-27,
_WeCh****479653,1,不佳,水里掉漆了。关键是哪里太滑了，我还摔了一跤。膝盖和脚都破皮了。倒霉。可玩性低，性价比低，体验不佳，,2020-08-22,
王之号角,2,一般,青海可可西里国家级自然保护区位于青海省玉树西部，总面积450万公顷。是21世纪初世界上原始生态环境保存较好的自然保护区，也是中国建成的面积最大，海拔最高，野生动物资源最为丰富的自然保护区之一。,2020-08-04,未知
兰州乐悠悠,1,不佳,景区整修，没开门，大家还是多留意官方报道。,2018-04-09,
lisa78763,1,不佳,8月来鸟岛，那是只能看湖，没有什么鸟的，可门票确是旺季价格，进门还要交30车票，没有鸟携程说的很清楚，但是这个季节确是不推荐来，服务感觉西北游就没有好的，问三句能答一句，那已经是中奖乐,2017-08-18,
M32****347,1,不佳,门票100，车费30。只有2个小景点拍照，8月4号来的时候已经没有鸟了，非常无聊的一个景点，性价比极低。不建议来！非常不划算,2017-08-04,
M15****876,2,一般,鸟岛没鸟，蛋岛可以隔着玻璃看到的都是假的鸟蛋，不建议去。还不如去祁连那边好玩，卓尔山很美，看图,2017-07-31,
帆宝涵宝的父亲,2,一般,鸟岛不错，风景优美，值得游览。但是蛋岛就比较坑爹，就是一个科普馆，还没什么特色，浏览时间紧的朋友就不必在哪里浪费时间。,2017-07-31,
瑞园,1,不佳,性价比最低的五A级景区门票。在旅游旺季，蛋岛没蛋，鸟岛没鸟。景区内部只有鸬鹚岛那么巴掌大的一点儿地方，要什么没什么！也不知道五A级景区是怎么评上的？太不值了？除了100门票，另外还单独有30元往返景观车费。真是太不值了？,2017-07-23,
M09****27,2,一般,啥东西也没有了，纯粹就耽误时间！,2017-07-08,
